#, instance, dim, nVertices, nFaces, orientable, genus, index, q, F4LvTime, F4LvMemory, F4LvTrials, F4LvTimeA, F4LvMemoryA, F4LvTimeB, F4LvMemory, F4LvmaxLenBefore, F4LvmaxDegBefore, F4LvmaxLenAfter, F4LvmaxDegAfter, F4LvfTime, F4LvfMemory, F4LvfTrials, F4LvfTimeA, F4LvfMemoryA, F4LvfTimeB, F4LvfMemory, F4LvfmaxLenBefore, F4LvfmaxDegBefore, F4LvfmaxLenAfter, F4LvfmaxDegAfter
26, 26_manifold_lex_d2_n8_o0_g1_14.mrdi, 2, 8, 21, 0, 1, 14, 1, 2.27161549, 778808144, 1, 0.654290648, 641599544, 0.117355594, 6346336, n/a, n/a, n/a, n/a, 2.281356947, 786875504, 1, 0.636673087, 641619640, 0.116520476, 6346336, n/a, n/a, n/a, n/a
26, 26_manifold_lex_d2_n8_o0_g1_14.mrdi, 2, 8, 14, 0, 1, 14, 2, 41.37918256, 9567861008, 1, 1.371934639, 1429927592, 38.524060394, 8008285984, 6, 3, 13576, 19, 45.096827501, 13706722808, 1, 1.318513612, 1428918216, 42.22772263, 12138803592, 6, 3, 1, 0
27, 27_manifold_lex_d2_n8_o0_g1_15.mrdi, 2, 8, 21, 0, 1, 15, 1, 2.23532979, 777121168, 1, 0.628026145, 641117336, 0.113845644, 6346336, n/a, n/a, n/a, n/a, 2.261356758, 785312656, 1, 0.650693129, 641151624, 0.113104212, 6346336, n/a, n/a, n/a, n/a
27, 27_manifold_lex_d2_n8_o0_g1_15.mrdi, 2, 8, 14, 0, 1, 15, 2, 5.691806072, 4206225584, 1, 1.410818391, 1427137056, 2.797539023, 2649426936, 6, 3, 7132, 16, 9.859718116, 8152868024, 1, 1.388800166, 1427123488, 6.956252513, 6588020160, 6, 3, 1, 0
28, 28_manifold_lex_d2_n8_o0_g1_16.mrdi, 2, 8, 21, 0, 1, 16, 1, 2.254507869, 777729616, 2, 0.662659841, 641699400, 0.118713969, 6346336, n/a, n/a, n/a, n/a, 2.241823598, 785875360, 2, 0.610089669, 641715912, 0.114895717, 6346336, n/a, n/a, n/a, n/a
28, 28_manifold_lex_d2_n8_o0_g1_16.mrdi, 2, 8, 14, 0, 1, 16, 2, 66.615347944, 14378519960, 7, 1.409949455, 1428397104, 63.729995836, 12820425344, 6, 3, 14366, 17, 58.335003452, 14471057600, 7, 1.4333268, 1428460448, 55.416521537, 12904782264, 6, 3, 1, 0
29, 29_manifold_lex_d2_n8_o0_g2_01.mrdi, 2, 8, 24, 0, 2, 01, 1, 2.379061107, 881173680, 1, 0.737501244, 742602416, 0.144794355, 7520200, n/a, n/a, n/a, n/a, 2.36871943, 888892800, 1, 0.74295063, 743557008, 0.142967466, 7520200, n/a, n/a, n/a, n/a
29, 29_manifold_lex_d2_n8_o0_g2_01.mrdi, 2, 8, 16, 0, 2, 01, 2, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, 1909.945324217, 138803280552, 8, 1.582579376, 1629306720, 1906.852767421, 137034773616, 6, 3, 1, 0
30, 30_manifold_lex_d2_n8_o0_g2_02.mrdi, 2, 8, 24, 0, 2, 02, 1, 2.384346957, 881615680, 1, 0.749737349, 743249344, 0.141809256, 7520200, n/a, n/a, n/a, n/a, 2.36339148, 889502000, 1, 0.752853153, 744187776, 0.142609874, 7520200, n/a, n/a, n/a, n/a
30, 30_manifold_lex_d2_n8_o0_g2_02.mrdi, 2, 8, 16, 0, 2, 02, 2, 1363.272213845, 58518678656, 18, 1.579249734, 1631558984, 1360.262908859, 56757464368, 6, 3, 91846, 21, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom
31, 31_manifold_lex_d2_n8_o0_g2_03.mrdi, 2, 8, 24, 0, 2, 03, 1, 2.370748993, 881339960, 1, 0.771486905, 744234552, 0.144240352, 7520200, n/a, n/a, n/a, n/a, 2.450870001, 889864696, 1, 0.74176763, 743289480, 0.145869851, 7520200, n/a, n/a, n/a, n/a
31, 31_manifold_lex_d2_n8_o0_g2_03.mrdi, 2, 8, 16, 0, 2, 03, 2, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot
32, 32_manifold_lex_d2_n8_o0_g2_04.mrdi, 2, 8, 24, 0, 2, 04, 1, 2.428180618, 882393712, 2, 0.754696881, 743846624, 0.145654065, 7520200, n/a, n/a, n/a, n/a, 2.65975306, 890140032, 2, 0.871970929, 744785184, 0.155672268, 7520200, n/a, n/a, n/a, n/a
32, 32_manifold_lex_d2_n8_o0_g2_04.mrdi, 2, 8, 16, 0, 2, 04, 2, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot
